Loan_ID,Gender,age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,reason,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,25,No,0,Graduate,No,5849,0,,car,360,1,Urban,Y
LP001003,Male,25,Yes,1,Graduate,No,4583,1508,128,car,360,1,Rural,N
LP001005,Male,25,Yes,0,Graduate,Yes,3000,0,66,car,360,1,Urban,Y
LP001006,Male,25,Yes,0,Not Graduate,No,2583,2358,120,car,360,1,Urban,Y
LP001008,Male,25,No,0,Graduate,No,6000,0,141,car,360,1,Urban,Y
LP001011,Male,25,Yes,2,Graduate,Yes,5417,4196,267,car,360,1,Urban,Y
LP001013,Male,25,Yes,0,Not Graduate,No,2333,1516,95,car,360,1,Urban,Y
LP001014,Male,25,Yes,3+,Graduate,No,3036,2504,158,car,360,0,Semiurban,N
LP001018,Male,25,Yes,2,Graduate,No,4006,1526,168,car,360,1,Urban,Y
LP001020,Male,25,Yes,1,Graduate,No,12841,10968,349,car,360,1,Semiurban,N
LP001024,Male,25,Yes,2,Graduate,No,3200,700,70,car,360,1,Urban,Y
LP001027,Male,25,Yes,2,Graduate,,2500,1840,109,car,360,1,Urban,Y
LP001028,Male,25,Yes,2,Graduate,No,3073,8106,200,car,360,1,Urban,Y
LP001029,Male,25,No,0,Graduate,No,1853,2840,114,car,360,1,Rural,N
LP001030,Male,25,Yes,2,Graduate,No,1299,1086,17,car,120,1,Urban,Y
LP001032,Male,25,No,0,Graduate,No,4950,0,125,car,360,1,Urban,Y
LP001034,Male,25,No,1,Not Graduate,No,3596,0,100,car,240,,Urban,Y
LP001036,Female,25,No,0,Graduate,No,3510,0,76,car,360,0,Urban,N
LP001038,Male,25,Yes,0,Not Graduate,No,4887,0,133,car,360,1,Rural,N
LP001041,Male,35,Yes,0,Graduate,,2600,3500,115,car,,1,Urban,Y
LP001043,Male,35,Yes,0,Not Graduate,No,7660,0,104,car,360,0,Urban,N
LP001046,Male,35,Yes,1,Graduate,No,5955,5625,315,car,360,1,Urban,Y
LP001047,Male,35,Yes,0,Not Graduate,No,2600,1911,116,car,360,0,Semiurban,N
LP001050,,35,Yes,2,Not Graduate,No,3365,1917,112,car,360,0,Rural,N
LP001052,Male,35,Yes,1,Graduate,,3717,2925,151,car,360,,Semiurban,N
LP001066,Male,35,Yes,0,Graduate,Yes,9560,0,191,car,360,1,Semiurban,Y
LP001068,Male,35,Yes,0,Graduate,No,2799,2253,122,car,360,1,Semiurban,Y
LP001073,Male,35,Yes,2,Not Graduate,No,4226,1040,110,car,360,1,Urban,Y
LP001086,Male,35,No,0,Not Graduate,No,1442,0,35,car,360,1,Urban,N
LP001087,Female,35,No,2,Graduate,,3750,2083,120,car,360,1,Semiurban,Y
LP001091,Male,35,Yes,1,Graduate,,4166,3369,201,car,360,,Urban,N
LP001095,Male,35,No,0,Graduate,No,3167,0,74,car,360,1,Urban,N
LP001097,Male,35,No,1,Graduate,Yes,4692,0,106,car,360,1,Rural,N
LP001098,Male,35,Yes,0,Graduate,No,3500,1667,114,car,360,1,Semiurban,Y
LP001100,Male,35,No,3+,Graduate,No,12500,3000,320,car,360,1,Rural,N
LP001106,Male,35,Yes,0,Graduate,No,2275,2067,,car,360,1,Urban,Y
LP001109,Male,35,Yes,0,Graduate,No,1828,1330,100,car,,0,Urban,N
LP001112,Female,35,Yes,0,Graduate,No,3667,1459,144,car,360,1,Semiurban,Y
LP001114,Male,35,No,0,Graduate,No,4166,7210,184,car,360,1,Urban,Y
LP001116,Male,35,No,0,Not Graduate,No,3748,1668,110,car,360,1,Semiurban,Y
LP001119,Male,35,No,0,Graduate,No,3600,0,80,car,360,1,Urban,N
LP001120,Male,35,No,0,Graduate,No,1800,1213,47,car,360,1,Urban,Y
LP001123,Male,35,Yes,0,Graduate,No,2400,0,75,car,360,,Urban,Y
LP001131,Male,35,Yes,0,Graduate,No,3941,2336,134,car,360,1,Semiurban,Y
LP001136,Male,35,Yes,0,Not Graduate,Yes,4695,0,96,car,,1,Urban,Y
LP001137,Female,35,No,0,Graduate,No,3410,0,88,car,,1,Urban,Y
LP001138,Male,35,Yes,1,Graduate,No,5649,0,44,travel,360,1,Urban,Y
LP001144,Male,35,Yes,0,Graduate,No,5821,0,144,travel,360,1,Urban,Y
LP001146,Female,35,Yes,0,Graduate,No,2645,3440,120,travel,360,0,Urban,N
LP001151,Female,35,No,0,Graduate,No,4000,2275,144,travel,360,1,Semiurban,Y
LP001155,Female,35,Yes,0,Not Graduate,No,1928,1644,100,travel,360,1,Semiurban,Y
LP001157,Female,35,No,0,Graduate,No,3086,0,120,travel,360,1,Semiurban,Y
LP001164,Female,35,No,0,Graduate,No,4230,0,112,travel,360,1,Semiurban,N
LP001179,Male,35,Yes,2,Graduate,No,4616,0,134,travel,360,1,Urban,N
